nama,jenis,lat,lon,provinsi,pm25_h1,pm25_h2,pm25_h3,jarak_grid_km_h1,jarak_grid_km_h2,jarak_grid_km_h3,tanggal_ramal_h1,tanggal_ramal_h2,tanggal_ramal_h3
Lopus,village,-1.62835,111.03597,KALIMANTAN TENGAH,90.07027435302734,96.74232482910156,65.80044555664062,10.682878655620256,10.682878655620256,10.682878655620256,2026-09-13,2026-09-14,2026-09-15
Tengah,village,-1.84292,109.96828,KALIMANTAN BARAT,248.77883911132812,198.71519470214844,152.1938934326172,21.60723604964391,21.60723604964391,21.60723604964391,2026-09-13,2026-09-14,2026-09-15
Biku Sarana,village,-2.09965,110.98297,KALIMANTAN BARAT,77.36788177490234,85.69588470458984,63.98770523071289,17.135158682813493,17.135158682813493,17.135158682813493,2026-09-13,2026-09-14,2026-09-15
Kumai Hilir,village,-2.74531,111.72119,KALIMANTAN TENGAH,37.840110778808594,39.550201416015625,34.34861755371094,14.372507488258737,14.372507488258737,14.372507488258737,2026-09-13,2026-09-14,2026-09-15
Toka,village,-1.88156,111.5995,KALIMANTAN TENGAH,85.05366516113281,91.40401458740234,62.4100227355957,20.18862736183693,20.18862736183693,20.18862736183693,2026-09-13,2026-09-14,2026-09-15
Bangun Jaya,village,-2.29874,111.18636,KALIMANTAN TENGAH,77.36788177490234,85.69588470458984,63.98770523071289,14.581444195535733,14.581444195535733,14.581444195535733,2026-09-13,2026-09-14,2026-09-15
Banjar Sari,village,-2.52449,110.22072,KALIMANTAN BARAT,16.606184005737305,16.92758560180664,15.511272430419922,23.67872272673529,23.67872272673529,23.67872272673529,2026-09-13,2026-09-14,2026-09-15
Tapin Bini,village,-1.89453,111.31427,KALIMANTAN TENGAH,90.07027435302734,96.74232482910156,65.80044555664062,32.17135558123545,32.17135558123545,32.17135558123545,2026-09-13,2026-09-14,2026-09-15
Pangkalan Tiga,village,-2.45342,111.83608,KALIMANTAN TENGAH,37.840110778808594,39.550201416015625,34.34861755371094,37.940571178891624,37.940571178891624,37.940571178891624,2026-09-13,2026-09-14,2026-09-15
Nanga Tayap,village,-1.52272,110.56443,KALIMANTAN BARAT,53.908782958984375,55.156822204589844,44.67799758911133,20.105205651402592,20.105205651402592,20.105205651402592,2026-09-13,2026-09-14,2026-09-15
Batu Agung,village,-2.17016,112.08249,KALIMANTAN TENGAH,51.594444274902344,53.660369873046875,46.178382873535156,3.846412343165917,3.846412343165917,3.846412343165917,2026-09-13,2026-09-14,2026-09-15
Sungai Awan Kiri,village,-1.72582,110.00419,KALIMANTAN BARAT,248.77883911132812,198.71519470214844,152.1938934326172,11.029071818438968,11.029071818438968,11.029071818438968,2026-09-13,2026-09-14,2026-09-15
Kinjil,village,-2.46482,111.3501,KALIMANTAN TENGAH,37.840110778808594,39.550201416015625,34.34861755371094,38.13723001555105,38.13723001555105,38.13723001555105,2026-09-13,2026-09-14,2026-09-15
Suka Damai,village,-2.38139,110.58278,KALIMANTAN BARAT,51.34287643432617,53.712745666503906,43.279014587402344,20.260187545073514,20.260187545073514,20.260187545073514,2026-09-13,2026-09-14,2026-09-15
Kali Nilam,village,-1.81879,109.95865,KALIMANTAN BARAT,248.77883911132812,198.71519470214844,152.1938934326172,20.525043080155974,20.525043080155974,20.525043080155974,2026-09-13,2026-09-14,2026-09-15
Medang Sari,village,-2.49823,111.68129,KALIMANTAN TENGAH,37.840110778808594,39.550201416015625,34.34861755371094,24.18473072638526,24.18473072638526,24.18473072638526,2026-09-13,2026-09-14,2026-09-15
Kujan,village,-2.21064,111.46613,KALIMANTAN TENGAH,52.10718536376953,53.92253112792969,42.75602722167969,14.921617373793413,14.921617373793413,14.921617373793413,2026-09-13,2026-09-14,2026-09-15
Kartamulia,village,-2.68142,111.23935,KALIMANTAN TENGAH,55.57344055175781,56.33685302734375,45.24708557128906,15.615206397084863,15.615206397084863,15.615206397084863,2026-09-13,2026-09-14,2026-09-15
Suka Ria,village,-2.2864,110.74834,KALIMANTAN BARAT,51.34287643432617,53.712745666503906,43.279014587402344,19.077627506803438,19.077627506803438,19.077627506803438,2026-09-13,2026-09-14,2026-09-15
Bukit Raya,village,-2.06925,111.6367,KALIMANTAN TENGAH,52.10718536376953,53.92253112792969,42.75602722167969,15.099838394997631,15.099838394997631,15.099838394997631,2026-09-13,2026-09-14,2026-09-15
Sandul,village,-2.27611,112.16274,KALIMANTAN TENGAH,51.594444274902344,53.660369873046875,46.178382873535156,10.964426571061118,10.964426571061118,10.964426571061118,2026-09-13,2026-09-14,2026-09-15
Sumber Mukti,village,-2.5281,111.23975,KALIMANTAN TENGAH,55.57344055175781,56.33685302734375,45.24708557128906,24.623848137738552,24.623848137738552,24.623848137738552,2026-09-13,2026-09-14,2026-09-15
Kudangan,village,-1.60137,111.03652,KALIMANTAN TENGAH,90.07027435302734,96.74232482910156,65.80044555664062,13.040772292771424,13.040772292771424,13.040772292771424,2026-09-13,2026-09-14,2026-09-15
Riam Danau Kanan,village,-1.77138,110.9453,KALIMANTAN BARAT,90.07027435302734,96.74232482910156,65.80044555664062,18.937522919640415,18.937522919640415,18.937522919640415,2026-09-13,2026-09-14,2026-09-15
Karang Mulya,village,-2.46122,111.9245,KALIMANTAN TENGAH,41.477054595947266,42.77040100097656,36.627235412597656,32.939543589979564,32.939543589979564,32.939543589979564,2026-09-13,2026-09-14,2026-09-15
Batu Tunggal,village,-1.83146,111.655,KALIMANTAN TENGAH,85.05366516113281,91.40401458740234,62.4100227355957,15.844343850240715,15.844343850240715,15.844343850240715,2026-09-13,2026-09-14,2026-09-15
Sungai Bundung,village,-3.01907,110.88474,KALIMANTAN TENGAH,55.57344055175781,56.33685302734375,45.24708557128906,42.78145725103687,42.78145725103687,42.78145725103687,2026-09-13,2026-09-14,2026-09-15
